156 6.543 -10.333 145.700 P2
157 3.849 -10.333 145.700 P3
158 0.000 -18.000 145.700 B
159 5.196 -15.000 145.700 B
160 10.392 -12.000 145.700 B
161 0.000 -24.000 145.700 B
162 5.196 -21.000 145.700 B
163 10.392 -18.000 145.700 B
164 15.588 -15.000 145.700 B
165 0.000 -30.000 145.700 B
166 5.196 -27.000 145.700 B
167 10.392 -24.000 145.700 B
168 15.588 -21.000 145.700 B
169 20.785 -18.000 145.700 B
170 0.000 -36.000 145.700 B
171 5.196 -33.000 145.700 B
172 10.392 -30.000 145.700 B
173 15.588 -27.000 145.700 B
174 20.785 -24.000 145.700 B
175 25.981 -21.000 145.700 B
176 0.000 -42.000 145.700 B
177 5.196 -39.000 145.700 B
178 10.392 -36.000 145.700 B
179 15.588 -33.000 145.700 B
180 20.785 -30.000 145.700 B
181 25.981 -27.000 145.700 B
182 31.177 -24.000 145.700 B
183 0.000 -48.000 145.700 B
184 5.196 -45.000 145.700 B
185 10.392 -42.000 145.700 B
186 15.588 -39.000 145.700 B
187 20.785 -36.000 145.700 B
188 25.981 -33.000 145.700 B
189 31.177 -30.000 145.700 B
190 36.373 -27.000 145.700 B
191 0.000 -54.000 145.700 B
192 5.196 -51.000 145.700 B
193 10.392 -48.000 145.700 B
194 15.588 -45.000 145.700 B
195 20.785 -42.000 145.700 B
196 25.981 -39.000 145.700 B
197 31.177 -36.000 145.700 B
198 36.373 -33.000 145.700 B
199 41.569 -30.000 145.700 B
200 0.000 -60.000 145.700 B
201 5.196 -57.000 145.700 B
202 10.392 -54.000 145.700 B
203 15.588 -51.000 145.700 B
204 20.785 -48.000 145.700 B
205 25.981 -45.000 145.700 B
206 31.177 -42.000 145.700 B
207 36.373 -39.000 145.700 B
208 41.569 -36.000 145.700 B
209 46.765 -33.000 145.700 B
210 10.392 -60.000 145.700 B
211 15.588 -57.000 145.700 B
212 20.785 -54.000 145.700 B
213 25.981 -51.000 145.700 B
214 31.177 -48.000 145.700 B
215 36.373 -45.000 145.700 B
216 41.569 -42.000 145.700 B
217 46.765 -39.000 145.700 B
218 51.962 -36.000 145.700 B
219 6.543 -1.667 145.700 P0
220 3.849 -1.667 145.700 P1
221 6.543 -4.333 145.700 P2
222 3.849 -4.333 145.700 P3
223 11.739 -4.667 145.700 P0
224 9.045 -4.667 145.700 P1
225 11.739 -7.333 145.700 P2
226 9.045 -7.333 145.700 P3
227 11.739 1.333 145.700 P0
228 9.045 1.333 145.700 P1
229 11.739 -1.333 145.700 P2
230 9.045 -1.333 145.700 P3
231 15.588 -9.000 145.700 B
232 15.588 -3.000 145.700 B
233 15.588 3.000 145.700 B
234 20.785 -12.000 145.700 B
235 20.785 -6.000 145.700 B
236 20.785 0.000 145.700 B
237 20.785 6.000 145.700 B
238 25.981 -15.000 145.700 B
239 25.981 -9.000 145.700 B
240 25.981 -3.000 145.700 B
241 25.981 3.000 145.700 B
242 25.981 9.000 145.700 B
243 31.177 -18.000 145.700 B
244 31.177 -12.000 145.700 B
245 31.177 -6.000 145.700 B
246 31.177 0.000 145.700 B
247 31.177 6.000 145.700 B
248 31.177 12.000 145.700 B
249 36.373 -21.000 145.700 B
250 36.373 -15.000 145.700 B
251 36.373 -9.000 145.700 B
