## Detector setup file for Ladder
########################################################################
##
##	#FP	Energy	Time	Pos
Size: 	352 	0 	1 	1
#
Multi-hit: 8
#
##	Scalers	Calib	Overlap	Micro	#trig	Toff	Tres
Misc:	1	1	1	0	0.0	-50	0.0
##
Window: 16. 24. -20. -12. 
##
## G 0 - 31  Section AB
##
Element:     836  0.200    2.5    0.00 0.000500  1466M0 -1000.0  1000.0 -3186.39 0.117000    0.000    0.000    0.000   60.700 0.860 436
Element:     837  0.200    2.5    0.00 0.000500  1482M0 -1000.0  1000.0 -3186.69 0.117000    0.000    0.000    0.000   61.510 0.870 437
Element:     838  0.200    2.5    0.00 0.000500  1467M0 -1000.0  1000.0 -3181.51 0.117000    0.000    0.000    0.000   62.340 0.860 438
Element:     839  0.200    2.5    0.00 0.000500  1483M0 -1000.0  1000.0 -3174.43 0.117000    0.000    0.000    0.000   63.160 0.840 439
Element:     840  0.200    2.5    0.00 0.000500  1468M0 -1000.0  1000.0 -3181.76 0.117000    0.000    0.000    0.000   63.980 0.850 440
Element:     841  0.200    2.5    0.00 0.000500  1484M0 -1000.0  1000.0 -3171.84 0.117000    0.000    0.000    0.000   64.810 0.860 441
Element:     842  0.200    2.5    0.00 0.000500  1469M0 -1000.0  1000.0 -3170.63 0.117000    0.000    0.000    0.000   65.640 0.870 442
Element:     843  0.200    2.5    0.00 0.000500  1485M0 -1000.0  1000.0 -3179.73 0.117000    0.000    0.000    0.000   66.480 0.870 443
Element:     844  0.200    2.5    0.00 0.000500  1470M0 -1000.0  1000.0 -3175.70 0.117000    0.000    0.000    0.000   67.310 0.880 444
Element:     845  0.200    2.5    0.00 0.000500  1486M0 -1000.0  1000.0 -3175.02 0.117000    0.000    0.000    0.000   68.160 0.890 445
Element:     846  0.200    2.5    0.00 0.000500  1471M0 -1000.0  1000.0 -3165.69 0.117000    0.000    0.000    0.000   69.000 0.900 446
Element:     847  0.200    2.5    0.00 0.000500  1487M0 -1000.0  1000.0 -3186.94 0.117000    0.000    0.000    0.000   69.850 0.910 447
Element:     848  0.200    2.5    0.00 0.000500  1472M0 -1000.0  1000.0 -3175.62 0.117000    0.000    0.000    0.000   70.710 0.890 448
Element:     849  0.200    2.5    0.00 0.000500  1488M0 -1000.0  1000.0 -3167.14 0.117000    0.000    0.000    0.000   71.550 0.880 449
Element:     850  0.200    2.5    0.00 0.000500  1473M0 -1000.0  1000.0 -3181.13 0.117000    0.000    0.000    0.000   72.410 0.890 450
Element:     851  0.200    2.5    0.00 0.000500  1489M0 -1000.0  1000.0 -3172.33 0.117000    0.000    0.000    0.000   73.270 0.900 451
Element:     852  0.200    2.5    0.00 0.000500  1474M0 -1000.0  1000.0 -3179.40 0.117000    0.000    0.000    0.000   74.130 0.900 452
Element:     853  0.200    2.5    0.00 0.000500  1490M0 -1000.0  1000.0 -3170.54 0.117000    0.000    0.000    0.000   75.000 0.910 453
Element:     854  0.200    2.5    0.00 0.000500  1475M0 -1000.0  1000.0 -3177.19 0.117000    0.000    0.000    0.000   75.870 0.920 454
Element:     855  0.200    2.5    0.00 0.000500  1491M0 -1000.0  1000.0 -3178.54 0.117000    0.000    0.000    0.000   76.750 0.930 455
Element:     856  0.200    2.5    0.00 0.000500  1476M0 -1000.0  1000.0 -3178.83 0.117000    0.000    0.000    0.000   77.630 0.920 456
Element:     857  0.200    2.5    0.00 0.000500  1492M0 -1000.0  1000.0 -3165.21 0.117000    0.000    0.000    0.000   78.510 0.910 457
Element:     858  0.200    2.5    0.00 0.000500  1477M0 -1000.0  1000.0 -3169.93 0.117000    0.000    0.000    0.000   79.390 0.910 458
Element:     859  0.200    2.5    0.00 0.000500  1493M0 -1000.0  1000.0 -3175.11 0.117000    0.000    0.000    0.000   80.280 0.920 459
Element:     860  0.200    2.5    0.00 0.000500  1478M0 -1000.0  1000.0 -3187.24 0.117000    0.000    0.000    0.000   81.170 0.930 460
Element:     861  0.200    2.5    0.00 0.000500  1494M0 -1000.0  1000.0 -3185.37 0.117000    0.000    0.000    0.000   82.060 0.940 461
Element:     862  0.200    2.5    0.00 0.000500  1479M0 -1000.0  1000.0 -3177.42 0.117000    0.000    0.000    0.000   82.960 0.950 462
Element:     863  0.200    2.5    0.00 0.000500  1495M0 -1000.0  1000.0 -3164.68 0.117000    0.000    0.000    0.000   83.860 0.950 463
##														     	   
## G 64 - 95  Section EF											     	   
##														     	   
Element:     864  0.200    2.5    0.00 0.000500  1496M0 -1000.0  1000.0 -3175.10 0.117000    0.000    0.000    0.000   84.770 0.960 464
Element:     865  0.200    2.5    0.00 0.000500  1512M0 -1000.0  1000.0 -3174.11 0.117000    0.000    0.000    0.000   85.670 0.970 465
Element:     866  0.200    2.5    0.00 0.000500  1497M0 -1000.0  1000.0 -3165.88 0.117000    0.000    0.000    0.000   86.590 0.980 466
Element:     867  0.200    2.5    0.00 0.000500  1513M0 -1000.0  1000.0 -3174.10 0.117000    0.000    0.000    0.000   87.510 0.970 467
Element:     868  0.200    2.5    0.00 0.000500  1498M0 -1000.0  1000.0 -3180.73 0.117000    0.000    0.000    0.000   88.420 0.950 468
Element:     869  0.200    2.5    0.00 0.000500  1514M0 -1000.0  1000.0 -3156.99 0.117000    0.000    0.000    0.000   89.340 0.960 469
Element:     870  0.200    2.5    0.00 0.000500  1499M0 -1000.0  1000.0 -3155.20 0.117000    0.000    0.000    0.000   90.260 0.970 470
Element:     871  0.200    2.5    0.00 0.000500  1515M0 -1000.0  1000.0 -3156.13 0.117000    0.000    0.000    0.000   91.190 0.970 471
Element:     872  0.200    2.5    0.00 0.000500  1500M0 -1000.0  1000.0 -3164.88 0.117000    0.000    0.000    0.000   92.120 0.980 472
Element:     873  0.200    2.5    0.00 0.000500  1516M0 -1000.0  1000.0 -3177.78 0.117000    0.000    0.000    0.000   93.060 0.990 473
Element:     874  0.200    2.5    0.00 0.000500  1501M0 -1000.0  1000.0 -3171.50 0.117000    0.000    0.000    0.000   94.000 1.000 474
Element:     875  0.200    2.5    0.00 0.000500  1517M0 -1000.0  1000.0 -3171.10 0.117000    0.000    0.000    0.000   94.940 1.010 475
Element:     876  0.200    2.5    0.00 0.000500  1502M0 -1000.0  1000.0 -3167.86 0.117000    0.000    0.000    0.000   95.900 1.000 476
Element:     877  0.200    2.5    0.00 0.000500  1518M0 -1000.0  1000.0 -3175.14 0.117000    0.000    0.000    0.000   96.830 0.980 477
Element:     878  0.200    2.5    0.00 0.000500  1503M0 -1000.0  1000.0 -3167.82 0.117000    0.000    0.000    0.000   97.790 0.990 478
Element:     879  0.200    2.5    0.00 0.000500  1519M0 -1000.0  1000.0 -3173.79 0.117000    0.000    0.000    0.000   98.740 1.000 479
Element:     880  0.200    2.5    0.00 0.000500  1504M0 -1000.0  1000.0 -3173.80 0.117000    0.000    0.000    0.000   99.700 1.010 480
Element:     881  0.200    2.5    0.00 0.000500  1520M0 -1000.0  1000.0 -3170.13 0.117000    0.000    0.000    0.000  100.660 1.020 481
Element:     882  0.200    2.5    0.00 0.000500  1505M0 -1000.0  1000.0 -3168.18 0.117000    0.000    0.000    0.000  101.630 1.030 482
Element:     883  0.200    2.5    0.00 0.000500  1521M0 -1000.0  1000.0 -3164.97 0.117000    0.000    0.000    0.000  102.600 1.030 483
Element:     884  0.200    2.5    0.00 0.000500  1506M0 -1000.0  1000.0 -3182.80 0.117000    0.000    0.000    0.000  103.570 1.040 484
Element:     885  0.200    2.5    0.00 0.000500  1522M0 -1000.0  1000.0 -3174.47 0.117000    0.000    0.000    0.000  104.550 1.030 485
Element:     886  0.200    2.5    0.00 0.000500  1507M0 -1000.0  1000.0 -3171.11 0.117000    0.000    0.000    0.000  105.520 1.020 486
Element:     887  0.200    2.5    0.00 0.000500  1523M0 -1000.0  1000.0 -3172.49 0.117000    0.000    0.000    0.000  106.500 1.020 487
Element:     888  0.200    2.5    0.00 0.000500  1508M0 -1000.0  1000.0 -3173.17 0.117000    0.000    0.000    0.000  107.490 1.030 488
Element:     889  0.200    2.5    0.00 0.000500  1524M0 -1000.0  1000.0 -3167.03 0.117000    0.000    0.000    0.000  108.480 1.040 489
Element:     890  0.200    2.5    0.00 0.000500  1509M0 -1000.0  1000.0 -3171.34 0.117000    0.000    0.000    0.000  109.470 1.050 490
Element:     891  0.200    2.5    0.00 0.000500  1525M0 -1000.0  1000.0 -3171.05 0.117000    0.000    0.000    0.000  110.470 1.060 491
Element:     892  0.200    2.5    0.00 0.000500  1510M0 -1000.0  1000.0 -3165.98 0.117000    0.000    0.000    0.000  111.460 1.070 492
Element:     893  0.200    2.5    0.00 0.000500  1526M0 -1000.0  1000.0 -3162.40 0.117000    0.000    0.000    0.000  112.470 1.070 493
Element:     894  0.200    2.5    0.00 0.000500  1511M0 -1000.0  1000.0 -3167.38 0.117000    0.000    0.000    0.000  113.480 1.060 494
Element:     895  0.200    2.5    0.00 0.000500  1527M0 -1000.0  1000.0 -3156.71 0.117000    0.000    0.000    0.000  114.480 1.050 495
##														     	   
## G 96 - 127  Section GH											     	   
##														     	   
Element:     896  0.200    2.5    0.00 0.000500  1528M0 -1000.0  1000.0 -3155.90 0.117000    0.000    0.000    0.000  115.490 1.060 496
Element:     897  0.200    2.5    0.00 0.000500  1544M0 -1000.0  1000.0 -3164.24 0.117000    0.000    0.000    0.000  116.500 1.070 497
Element:     898  0.200    2.5    0.00 0.000500  1529M0 -1000.0  1000.0 -3163.53 0.117000    0.000    0.000    0.000  117.520 1.080 498
Element:     899  0.200    2.5    0.00 0.000500  1545M0 -1000.0  1000.0 -3167.55 0.117000    0.000    0.000    0.000  118.540 1.090 499
Element:     900  0.200    2.5    0.00 0.000500  1530M0 -1000.0  1000.0 -3170.56 0.117000    0.000    0.000    0.000  119.560 1.100 500
Element:     901  0.200    2.5    0.00 0.000500  1546M0 -1000.0  1000.0 -3171.83 0.117000    0.000    0.000    0.000  120.590 1.100 501
Element:     902  0.200    2.5    0.00 0.000500  1531M0 -1000.0  1000.0 -3166.78 0.117000    0.000    0.000    0.000  121.620 1.110 502
Element:     903  0.200    2.5    0.00 0.000500  1547M0 -1000.0  1000.0 -3162.31 0.117000    0.000    0.000    0.000  122.670 1.100 503
Element:     904  0.200    2.5    0.00 0.000500  1532M0 -1000.0  1000.0 -3179.05 0.117000    0.000    0.000    0.000  123.690 1.080 504
Element:     905  0.200    2.5    0.00 0.000500  1548M0 -1000.0  1000.0 -3174.78 0.117000    0.000    0.000    0.000  124.730 1.090 505
Element:     906  0.200    2.5    0.00 0.000500  1533M0 -1000.0  1000.0 -3182.38 0.117000    0.000    0.000    0.000  125.770 1.100 506
Element:     907  0.200    2.5    0.00 0.000500  1549M0 -1000.0  1000.0 -3192.60 0.117000    0.000    0.000    0.000  126.820 1.110 507
Element:     908  0.200    2.5    0.00 0.000500  1534M0 -1000.0  1000.0 -3161.86 0.117000    0.000    0.000    0.000  127.860 1.110 508
Element:     909  0.200    2.5    0.00 0.000500  1550M0 -1000.0  1000.0 -3169.77 0.117000    0.000    0.000    0.000  128.920 1.120 509
Element:     910  0.200    2.5    0.00 0.000500  1535M0 -1000.0  1000.0 -3159.15 0.117000    0.000    0.000    0.000  129.970 1.130 510
Element:     911  0.200    2.5    0.00 0.000500  1551M0 -1000.0  1000.0 -3174.54 0.117000    0.000    0.000    0.000  131.030 1.140 511
Element:     912  0.200    2.5    0.00 0.000500  1536M0 -1000.0  1000.0 -3168.94 0.117000    0.000    0.000    0.000  132.090 1.150 512
Element:     913  0.200    2.5    0.00 0.000500  1552M0 -1000.0  1000.0 -3160.73 0.117000    0.000    0.000    0.000  133.160 1.140 513
Element:     914  0.200    2.5    0.00 0.000500  1537M0 -1000.0  1000.0 -3168.71 0.117000    0.000    0.000    0.000  134.220 1.120 514
Element:     915  0.200    2.5    0.00 0.000500  1553M0 -1000.0  1000.0 -3160.41 0.117000    0.000    0.000    0.000  135.280 1.130 515
Element:     916  0.200    2.5    0.00 0.000500  1538M0 -1000.0  1000.0 -3174.14 0.117000    0.000    0.000    0.000  136.360 1.140 516
Element:     917  0.200    2.5    0.00 0.000500  1554M0 -1000.0  1000.0 -3178.91 0.117000    0.000    0.000    0.000  137.430 1.150 517
Element:     918  0.200    2.5    0.00 0.000500  1539M0 -1000.0  1000.0 -3140.72 0.117000    0.000    0.000    0.000  138.510 1.160 518
Element:     919  0.200    2.5    0.00 0.000500  1555M0 -1000.0  1000.0 -3172.12 0.117000    0.000    0.000    0.000  139.590 1.170 519
Element:     920  0.200    2.5    0.00 0.000500  1540M0 -1000.0  1000.0 -3174.31 0.117000    0.000    0.000    0.000  140.670 1.170 520
Element:     921  0.200    2.5    0.00 0.000500  1556M0 -1000.0  1000.0 -3163.60 0.117000    0.000    0.000    0.000  141.760 1.180 521
Element:     922  0.200    2.5    0.00 0.000500  1541M0 -1000.0  1000.0 -3170.61 0.117000    0.000    0.000    0.000  142.850 1.190 522
Element:     923  0.200    2.5    0.00 0.000500  1557M0 -1000.0  1000.0 -3172.12 0.117000    0.000    0.000    0.000  143.950 1.170 523
