## Detector setup file for Veto with PbWO4 and new numbering
########################################################################
##
########################################################################
## General detector setup
## Total # Elements. Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
########################################################################
##
##      Total   Energy? Time?   Position?
Size:   384     1       1       1
##
########################################################################
## Process raw ADC/TDC hits, uncomment if desired
########################################################################
##
#RawHits:
##
########################################################################
## Use bit pattern, uncomment if desired
########################################################################
##
#BitPattern: data/TAPS.pat
##
########################################################################
## Calibration factors for each crystal...one line for each crystal
########################################################################
##
##          ADC#    low   high     ped   MeV/ch    TDC#     low    high   offset    ns/ch    X Pos    Y Pos    Z Pos
##
## BLOCK A
##
Element:   26143    0.1 9999.0   84.38 0.012187   26135 -1000.0  1000.0  2194.54 0.050000  -46.765    9.000  140.700
Element:   26168    0.1 9999.0   86.19 0.013035   26160 -1000.0  1000.0  2308.41 0.050000  -46.765    3.000  140.700
Element:   26169    0.1 9999.0   85.49 0.021069   26164 -1000.0  1000.0  2250.00 0.050000  -46.765   -3.000  140.700
Element:   26170    0.1 9999.0   84.70 0.011242   26161 -1000.0  1000.0  2289.14 0.050000  -46.765   -9.000  140.700
Element:   26171    0.1 9999.0   90.78 0.011850   26165 -1000.0  1000.0  2302.41 0.050000  -46.765  -15.000  140.700
Element:   26172    0.1 9999.0   85.28 0.013148   26162 -1000.0  1000.0  2307.08 0.050000  -46.765  -21.000  140.700
Element:   26173    0.1 9999.0   85.99 0.011994   26166 -1000.0  1000.0  2282.37 0.050000  -51.962   30.000  140.700
Element:   26174    0.1 9999.0   84.31 0.011059   26163 -1000.0  1000.0  2286.50 0.050000  -51.962   24.000  140.700
Element:   26175    0.1 9999.0   84.70 0.014276   26167 -1000.0  1000.0  2291.19 0.050000  -51.962   18.000  140.700
Element:   26200    0.1 9999.0   85.35 0.010993   26192 -1000.0  1000.0  2303.34 0.050000  -51.962   12.000  140.700
Element:   26201    0.1 9999.0   86.85 0.013096   26196 -1000.0  1000.0  2302.27 0.050000  -51.962    6.000  140.700
Element:   26202    0.1 9999.0   85.47 0.010739   26193 -1000.0  1000.0  2288.94 0.050000  -51.962    0.000  140.700
Element:   26203    0.1 9999.0   85.00 0.011176   26197 -1000.0  1000.0  2298.65 0.050000  -51.962   -6.000  140.700
Element:   26204    0.1 9999.0   86.17 0.008887   26194 -1000.0  1000.0  2295.77 0.050000  -51.962  -12.000  140.700
Element:   26205    0.1 9999.0   86.09 0.009728   26198 -1000.0  1000.0  2278.19 0.050000  -51.962  -18.000  140.700
Element:   26206    0.1 9999.0   86.48 0.008871   26195 -1000.0  1000.0  2271.11 0.050000  -51.962  -24.000  140.700
Element:   26207    0.1 9999.0   86.93 0.014990   26199 -1000.0  1000.0  2269.84 0.050000  -57.158   27.000  140.700
Element:   26232    0.1 9999.0   85.49 0.014047   26224 -1000.0  1000.0  2260.98 0.050000  -57.158   21.000  140.700
Element:   26233    0.1 9999.0   85.94 0.010390   26228 -1000.0  1000.0  2274.27 0.050000  -57.158   15.000  140.700
Element:   26234    0.1 9999.0   85.97 0.010424   26225 -1000.0  1000.0  2268.17 0.050000  -57.158    9.000  140.700
Element:   26235    0.1 9999.0   85.02 0.018097   26229 -1000.0  1000.0  2277.60 0.050000  -57.158    3.000  140.700
Element:   26236    0.1 9999.0   87.47 0.020134   26226 -1000.0  1000.0  2259.37 0.050000  -57.158   -3.000  140.700
Element:   26237    0.1 9999.0   86.29 0.010175   26230 -1000.0  1000.0  2282.80 0.050000  -57.158   -9.000  140.700
