#########################################################################
#                                                                       #
# PbWO4 configuration file                                              #
#                                                                       #
#                                                                       #
##--Update      Tigran Armand Rostomyan  09.Aug.2014                    #
#                                                                       #
#########################################################################
#
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
#
Size:   72      1       1       1
RawHits:
#BitPattern: data/TAPS.pat
#
#         ADC#      low  high      ped     MeV/ch    TDC#     low     high      Off      ns/ch      Pos x      y     z (cm)
#
# BLOCK A
#
# 4 PWO Ring 1
Element:   29072  1.000 2000.0   79.082 0.247145 29260M0 -1000.0  1000.0 -5803.05 0.100000    6.543   -1.667  145.700
Element:   29074  1.000 2000.0  102.834 0.250414 29261M0 -1000.0  1000.0 -5822.31 0.100000    6.543   -4.333  145.700
Element:   29076  1.000 2000.0  110.518 0.247162 29262M0 -1000.0  1000.0 -5800.71 0.100000    3.849   -4.333  145.700
Element:   29078  1.000 2000.0  109.649 0.257320 29263M0 -1000.0  1000.0 -5809.55 0.100000    3.849   -1.667  145.700
#
# 4 PWO Ring 2
Element:   29080  1.000 2000.0   69.256 0.243628 29264M0 -1000.0  1000.0 -5782.34 0.100000   11.739   -4.667  145.700
Element:   29082  1.000 2000.0   82.074 0.214928 29265M0 -1000.0  1000.0 -5782.80 0.100000   11.739   -7.333  145.700
Element:   29084  1.000 2000.0  110.929 0.255572 29266M0 -1000.0  1000.0 -5793.01 0.100000    9.045   -7.333  145.700
Element:   29086  1.000 2000.0   82.750 0.251129 29267M0 -1000.0  1000.0 -5798.49 0.100000    9.045   -4.667  145.700
#
# 4 PWO Ring 2
Element:   29088  1.000 2000.0   87.321 0.244844 29268M0 -1000.0  1000.0 -5798.59 0.100000   11.739    1.333  145.700
Element:   29090  1.000 2000.0   95.486 0.243956 29269M0 -1000.0  1000.0 -5800.52 0.100000   11.739   -1.333  145.700
Element:   29092  1.000 2000.0   98.404 0.245653 29270M0 -1000.0  1000.0 -5802.45 0.100000    9.045   -1.333  145.700
Element:   29094  1.000 2000.0   83.250 0.249848 29271M0 -1000.0  1000.0 -5813.49 0.100000    9.045    1.333  145.700
#
# BLOCK E
#
# 4 PWO Ring 1
Element:   29096  1.000 2000.0   85.817 0.247834 29272M0 -1000.0  1000.0 -5801.87 0.100000    6.543    4.333  145.700
Element:   29098  1.000 2000.0   88.012 0.253929 29273M0 -1000.0  1000.0 -5817.10 0.100000    6.543    1.667  145.700
Element:   29100  1.000 2000.0   94.416 0.250944 29274M0 -1000.0  1000.0 -5806.12 0.100000    3.849    1.667  145.700
Element:   29102  1.000 2000.0   90.700 0.244847 29275M0 -1000.0  1000.0 -5808.82 0.100000    3.849    4.333  145.700
#
# 4 PWO Ring 2
Element:   29104  1.000 2000.0  110.818 0.248777 29276M0 -1000.0  1000.0 -5821.23 0.100000   11.739    7.333  145.700
Element:   29106  1.000 2000.0   87.701 0.243210 29277M0 -1000.0  1000.0 -5802.96 0.100000   11.739    4.667  145.700
Element:   29108  1.000 2000.0  100.586 0.253126 29278M0 -1000.0  1000.0 -5794.06 0.100000    9.045    4.667  145.700
Element:   29110  1.000 2000.0   96.393 0.246150 29279M0 -1000.0  1000.0 -5813.32 0.100000    9.045    7.333  145.700
#
# 4 PWO Ring 2
Element:   29112  1.000 2000.0   83.775 0.249521 29280M0 -1000.0  1000.0 -5802.58 0.100000    6.543   10.333  145.700
