#########################################################################
#                                                                       #
# Veto configuration file for the November 2013 beamtime                #
#                                                                       #
#########################################################################
#
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
Size:  	438    	1       1       1
#RawHits:
#BitPattern: data/TAPS.pat
#
#
#
# Now enter the information for each element....if the number of
# elements is specified as 10 above then there must be 10 element spec lines
# ADCs low,high define in MeV the range of a valid hit.
# ped is the zero-point offset channel and MeV/ch is the ADC conversionsion
# TDCs low, high define in ns the range of a valid hit.
# Off is the time-zero offset channel and ns/ch is the conversion gain.
# Pos 3-vector usually relates to the center of the front face of a crystal
# assuming origin at center of target, beam in z-direction
# with Bene's calib-files
#        ADC#  low  high ped  MeV/ch  TDC#  low/high Off ns/ch  Pos x,y,z (cm)
#
# BLOCK A
#
# 4 PWO Ring 1
Element:   26107  0.100 9999.0   85.61 0.017126   26101 -1000.0  1000.0  3450.17 -0.050000  -36.373  -15.000  174.200
Element:   26108  0.100 9999.0   85.45 0.011951   26098 -1000.0  1000.0  3434.91 -0.050000  -41.569   24.000  174.200
Element:   26109  0.100 9999.0   86.29 0.014762   26102 -1000.0  1000.0  3416.63 -0.050000  -41.569   18.000  174.200
Element:   26110  0.100 9999.0   85.57 0.012457   26099 -1000.0  1000.0  3424.76 -0.050000  -41.569   12.000  174.200
Element:   26111  0.100 9999.0   84.88 0.023419   26103 -1000.0  1000.0  3311.66 -0.050000  -41.569    6.000  174.200
Element:   26136  0.100 9999.0   85.12 0.010634   26128 -1000.0  1000.0  3422.29 -0.050000  -41.569    0.000  174.200
Element:   26137  0.100 9999.0   86.15 0.011051   26132 -1000.0  1000.0  3409.53 -0.050000  -41.569   -6.000  174.200
Element:   26138  0.100 9999.0   85.29 0.011137   26129 -1000.0  1000.0  3418.06 -0.050000  -41.569  -12.000  174.200
Element:   26139  0.100 9999.0   84.65 0.011552   26133 -1000.0  1000.0  3399.03 -0.050000  -41.569  -18.000  174.200
Element:   26140  0.100 9999.0   85.91 0.022012   26130 -1000.0  1000.0  3286.70 -0.050000  -46.765   27.000  174.200
Element:   26141  0.100 9999.0   84.63 0.013873   26134 -1000.0  1000.0  3342.43 -0.050000  -46.765   21.000  174.200
Element:   26142  0.100 9999.0   86.18 0.010774   26131 -1000.0  1000.0  3404.50 -0.050000  -46.765   15.000  174.200
